Date,topic_coherence,topic_coherence_diff,recon_ratio
21/11/2012,0.640782738,0.848565459,0.005510071
26/11/2012,0.728614616,0.861864865,0.006195772
27/11/2012,0.740379095,0.86343348,0.000598215
28/11/2012,0.740916634,0.862656713,0.005658089
29/11/2012,0.686673355,0.87779808,0.009103745
30/11/2012,0.718759823,0.844575584,0.0052592
03/12/2012,0.692444229,0.855700374,0.007524323
04/12/2012,0.735389328,0.891906381,0.001585678
05/12/2012,0.705228901,0.897776604,0.006714758
06/12/2012,0.722491837,0.88648206,0.005915708
07/12/2012,0.78361187,0.870069861,0.004869527
10/12/2012,0.715829468,0.892926395,0.010858473
11/12/2012,0.735583687,0.889312088,0.0029608
12/12/2012,0.672793436,0.830031037,0.005151029
13/12/2012,0.768306923,0.813157082,0.004750721
14/12/2012,0.737703371,0.865101993,0.004798982
17/12/2012,0.772312593,0.832425296,0.004194514
18/12/2012,0.743571949,0.829435945,0.00099533
19/12/2012,0.660717392,0.884647369,0.006813194
20/12/2012,0.69373455,0.866624057,0.00655916
21/12/2012,0.675499344,0.885803998,0.006569236
26/12/2012,0.755536556,0.858606994,0.004902524
27/12/2012,0.704731369,0.857442021,-0.000359798
28/12/2012,0.733188343,0.885134518,0.008702249
31/12/2012,0.71825366,0.840915501,0.010154694
02/01/2013,0.775096703,0.885364711,0.004687022
03/01/2013,0.696581459,0.89832449,-0.001233811
04/01/2013,0.712555122,0.891903579,0.006104533
07/01/2013,0.80171299,0.874726892,0.008426034
08/01/2013,0.716897964,0.914187253,0.004148448
09/01/2013,0.7655931,0.884681106,0.006247005
10/01/2013,0.711213398,0.875730813,0.00796539
11/01/2013,0.730158615,0.856921196,0.006450211
14/01/2013,0.743231773,0.88896054,0.008852963
15/01/2013,0.77937541,0.88722837,0.003193144
16/01/2013,0.75068512,0.894350529,0.004544349
17/01/2013,0.672220993,0.852010727,0.003695304
18/01/2013,0.706293392,0.878838718,0.005098834
22/01/2013,0.73158989,0.866730392,0.007306659
23/01/2013,0.724891233,0.853651822,0.001562927
24/01/2013,0.672069073,0.835443139,0.004101778
25/01/2013,0.775277805,0.832863927,0.005229079
28/01/2013,0.765943146,0.88359201,0.007293681
29/01/2013,0.748037815,0.882777691,0.004442147
30/01/2013,0.722982407,0.880313873,0.005815506
31/01/2013,0.762747574,0.851048589,0.008047834
01/02/2013,0.735581779,0.878687084,0.007201349
04/02/2013,0.763374996,0.843954265,0.007709881
05/02/2013,0.749996567,0.874758899,0.003077454
06/02/2013,0.655981016,0.900075734,0.006685787
07/02/2013,0.73109827,0.84071368,0.007239863
08/02/2013,0.728425789,0.867815852,0.005416774
11/02/2013,0.748434734,0.872439504,0.009666473
12/02/2013,0.648821163,0.883873165,0.000380832
13/02/2013,0.74014492,0.785637498,0.002628307
14/02/2013,0.697603321,0.782913268,0.002975171
15/02/2013,0.684366798,0.809289277,0.007498704
19/02/2013,0.83533268,0.835595131,0.007499257
20/02/2013,0.749834442,0.92225951,0.005024961
21/02/2013,0.750484467,0.902782142,0.008832385
22/02/2013,0.737697601,0.860614419,0.007585813
